alcohol,amount,attributes,company,description,dilivery,image_src,price,stock,title,url
"53,2 % vol","0,7 Liter","{'Sorte:': 'Blended Malt Whisky', 'Abfüller:': 'Duncan Taylor'}",Duncan Taylor Scotch Whisky Ltd King Street Huntly AB54 8HP/GB,In der Octave Serie experimentiert Duncan Taylor mit dem Einfluss der Fassgröße auf die Reifung. Octave Fässer sind mit ca. 50 Litern nur ein Bruchteil so groß wie die gängigen Fassarten. Dadurch hat der Whisky mehr Kontakt mit der Fassoberfläche und reift intensiver.,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_AUCHI08D2_1.jpg,"56,90",geringer Vorrat,Auchindoun Octave Sherryfinish 10J-2008/2018,https://www.whisky.de/shop/Schottland/Blend/Auchindoun-Octave.html?&searchorigin=2
40 % vol,1 Liter,{'Sorte:': 'Blended Whisky'},George Ballantine & Son Ltd. Dumbarton G82 2SS/GB,Für den Ballantine's Hard Fired wurden amerikanische Weißeichenfässer in Handarbeit ein zweites Mal ausgebrannt. Jedes ausgebrannte Fass wird vom Master Blender Sandy Hyslop persönlich ausgewählt. ,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_BALLA0HF0_1.jpg,"26,90",sofort lieferbar,Ballantine's Hard Fired,https://www.whisky.de/shop/Schottland/Blend/Ballantine-s-Hard-Fired.html?&searchorigin=2
40 % vol,"0,7 Liter",{'Sorte:': 'Blended Whisky'},George Ballantine & Son Ltd. Dumbarton G82 2SS/GB,Diese Sonderedition des Ballantine's Finest wurde in Zusammenarbeit mit der Band 'The BossHoss' erstellt. An der Gestaltung der Flasche waren die Sänger Alec Völkel und Sascha Vollmer beteiligt. Zu jeder Flasche gibt es einen BossHoss-Song gratis zum Downloaden! ,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_BALLA0BH0_1.jpg,"15,90",sofort lieferbar,Ballantine's Finest BossHoss Edition,https://www.whisky.de/shop/Schottland/Blend/Ballantine-s-Finest-BossHoss-Edition.html?&searchorigin=2
40 % vol,"0,7 Liter",{'Sorte:': 'Blended Whisky'},George Ballantine & Son Ltd. Dumbarton G82 2SS/GB,"In der Signature Distillery Serie ehrt Ballantine's die verschiedenen Whiskys, die dem Blend seinen unverwechselbaren Geschmack verleihen. Diese Variante des 17-Jährigen wird besonders von den fruchtigen und nussigen Aromen der Glentauchers Brennerei geprägt. Die Abfüllung war ursprünglich nur im asiatischen Raum erhältlich.",inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_BALLA17GT_1.jpg,"47,90",geringer Vorrat,Ballantine's Signature Distillery Glentauchers 17 Jahre,https://www.whisky.de/shop/Schottland/Blend/Ballantine-s-Signature-Distillery-Glentauchers-17-Jahre.html?&searchorigin=2
40 % vol,"0,7 Liter",{'Sorte:': 'Blended Whisky'},George Ballantine & Son Ltd. Dumbarton G82 2SS/GB,"Dieser 17-jährige Ballantine's besteht aus über 40 verschiedenen Malz- und Getreide-Whiskys, die aus ganz Schottland stammen. Jede Ausgabe der Signature Distillery Serie wurde eigens von Master Blender Sandy Hyslop kreiert. Die Miltonduff Brennerei verleiht dem 17-Jährigen eine besondere schöne Tiefe. ",inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_BALLA17MI_1.jpg,"69,90",sofort lieferbar,Ballantine's Signature Distillery Miltonduff 17 Jahre,https://www.whisky.de/shop/Schottland/Blend/Ballantine-s-Signature-Distillery-Miltonduff-17-Jahre.html?&searchorigin=2
&nbsp,&nbsp,{},,"Das Poster ""Islay's Distilleries Premium"" zeigt alle Destillerien auf der schottischen Insel Islay. Die Destillerien sind in mehrere Kategorien unterteilt und farblich markiert. Die Premium Edition enthält zusätzlich zum Poster noch ein Booklet mit vielen Informationen über die Destillen und ein Set Posterschienen zum einfachen Anbringen. ",inkl. 7% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_POSMA0IS0_1.jpg,"17,95",sofort lieferbar,Poster Islay's Distilleries (Premium),https://www.whisky.de/shop/Zubehoer/Buecher-Poster/Poster-Islay-s-Distilleries-Premium.html?&searchorigin=2
&nbsp,&nbsp,{},,"Mit dem Aromarad können Sie die verschiedenen Whiskynoten analysieren. Es enthält 8 Primäraromen, 35 Sekundäraromen und 207 Aromaassoziationen. Die Premium Edition enthält zusätzlich zum Poster noch ein Booklet mit vielen Informationen und ein Set Posterschienen zum einfachen Anbringen. ",inkl. 7% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_POSMA0WH0_1.jpg,"17,95",sofort lieferbar,Poster Whisky Flavours Wheel (Premium),https://www.whisky.de/shop/Zubehoer/Buecher-Poster/Poster-Whisky-Flavours-Wheel-Premium.html?&searchorigin=2
&nbsp,&nbsp,{},,Das Poster 'Scotland's Distilleries Premium' zeigt mehr als 400 schottische Brennereien. Die Destillerien sind in mehrere Kategorien unterteilt und farblich markiert. Die Premium Edition enthält zusätzlich zum Poster noch ein Booklet mit vielen Informationen über die Destillen und ein Set Posterschienen zum einfachen Anbringen. ,inkl. 7% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_POSMA0SC0_1.jpg,"17,95",sofort lieferbar,Poster Scotland's Distilleries (Premium),https://www.whisky.de/shop/Zubehoer/Buecher-Poster/Poster-Scotland-s-Distilleries-Premium.html?&searchorigin=2
&nbsp,&nbsp,{},,"Die Aroma- und Geschmackssensorik spielt beim Whiskygenuss eine wichtige Rolle, sie kann trainiert und verbessert werden. Mit der Flavours Collection können Sie 239 verschiedene Aromen entdecken.",inkl. 7% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_POSMA0FL0_1.jpg,"25,95",sofort lieferbar,Poster Whisky Flavours Collection (Premium),https://www.whisky.de/shop/Zubehoer/Buecher-Poster/Poster-Whisky-Flavours-Collection-Premium.html?&searchorigin=2
&nbsp,&nbsp,{},,Das Mousepad zeigt Irland mit seinen Brennereien.,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_ZMOUSIRLA_1.jpg,"9,90",sofort lieferbar,Mousepad Irland,https://www.whisky.de/shop/Zubehoer/Buecher-Poster/Mousepad-Irland.html?&searchorigin=2
